Trial,Seed,Start_Time_Sec,Start_Time_Min,Time_Index_Start,Time_Index_End,Depot,Required_Edge,FAR_Travel_Time,FAR_Flood_Risk,FAR_Cumulative_Flood,FAR_Flooded_Segments,FAR_Total_Segments,FAR_Avg_Flood,FAR_Max_Flood,FAR_Total_Length,SPR_Travel_Time,SPR_Flood_Risk,SPR_Cumulative_Flood,SPR_Flooded_Segments,SPR_Total_Segments,SPR_Avg_Flood,SPR_Max_Flood,SPR_Total_Length,Travel_Time_Improvement_Pct,Flood_Risk_Improvement_Pct,Cumulative_Flood_Improvement_Pct
1,42,799,13.316666666666666,13,27,8295487422,"(np.int64(21458447), np.int64(25008767))",825.1898672576084,0.09894288140762429,2.673221477628788,6,81,0.03300273429171343,0.286143914191496,9937.894411669324,1234.05891824767,0.22973857313308074,4.417373473959578,18,108,0.04090160624036646,0.1806605454640729,8359.3165532261,33.13205268761757,56.93240361934798,39.48391519559232
2,123,1049,17.483333333333334,17,42,32476705,"(np.int64(299189101), np.int64(299189135))",1473.0934060342802,0.3418270297784325,4.900281929402966,9,97,0.050518370406216144,0.782964670222903,11897.632155961624,1702.398060985692,0.625777044368838,6.939483253112223,20,90,0.0771053694790247,0.5238528967613266,11342.993261002173,13.4695087010757,45.3755881820176,29.385492396637964
3,456,2358,39.3,39,59,8604759981,"(np.int64(1141692621), np.int64(1141692717))",2335.1345901056966,0.4296031322516066,11.814929925401692,37,234,0.05049115352735766,0.5605741825841718,21632.346744998416,2853.2649791548993,0.7527191817540342,12.02322055667064,41,216,0.05566305813273445,0.5605741825841718,18185.759313847328,18.15921033743828,42.92650663551339,1.7324029804425878
4,789,1894,31.566666666666666,31,33,1344300941,"(np.int64(33952720), np.int64(33952479))",143.0515379361893,0.0846617432888218,0.6465301944954162,3,7,0.09236145635648803,0.36362710664581,382.699616124685,221.6496647217647,0.1073374698233587,0.5391466307675787,4,8,0.06739332884594734,0.1570727181471333,515.2150587090425,35.46052139724149,21.125639137808548,-19.917320743515784
5,1011,2191,36.516666666666666,36,50,32821565,"(np.int64(34019129), np.int64(34019177))",859.2167958837924,0.09910630422766377,1.8640327707023265,4,68,0.02741224662797539,0.2972547615496884,6339.25788400614,933.4683740212471,0.17633929906112955,2.036618298687885,6,68,0.02995026909835125,0.2972547615496884,6263.553577221757,7.954375338672651,43.797948185499074,8.47412242621745
6,1213,1554,25.9,25,59,34019689,"(np.int64(335304298), np.int64(335304204))",2088.5637868096064,0.337881481635418,5.303497898764451,13,152,0.03489143354450297,0.3412750419643192,16954.57960079455,2263.9839462082705,0.5474757009853457,8.207647508396127,21,162,0.050664490792568684,0.6251701035386041,17072.30796541842,7.748295198491069,38.28374829653635,35.38345922702986
7,1415,1646,27.433333333333334,27,53,1133370736,"(np.int64(32621987), np.int64(32621988))",1558.8601913795255,0.3949119296041187,3.1527868566699326,10,89,0.03542457142325767,0.2238325378398101,12269.63884996529,1735.5986553129303,0.49914497466580415,4.434822605425208,13,98,0.04525329189209396,0.3049804458660742,11578.888229043308,10.183141326618431,20.88231883561951,28.90838851562936
8,1617,352,5.866666666666666,5,29,34018597,"(np.int64(30760033), np.int64(32821326))",1435.3238829051245,0.11378093834946668,2.066618710271519,3,104,0.01987133375261076,0.2166840352508284,11361.762560969571,1512.1862499029032,0.15613020145709688,2.4289018003180334,6,104,0.023354825003058015,0.2196681362248602,11441.504821058872,5.082863767787469,27.124324898323653,14.915509964177149
9,1819,3220,53.666666666666664,53,59,212389808,"(np.int64(12144715003), np.int64(1404410899))",1419.2905235079013,0.25128879807563526,5.870729811305543,16,94,0.062454572460697265,0.5605741825841718,11022.852621153103,1699.196097095457,0.6013638900631283,9.842369128276173,28,114,0.08633657130066819,0.5897625855179061,10555.276131597213,16.47282347611414,58.21352059411878,40.352472714729785
10,2021,2433,40.55,40,59,1441743873,"(np.int64(45025450), np.int64(45025425))",1858.054445909699,0.4137579180944778,9.532446814272761,25,174,0.05478417709352162,0.5555152817851017,15444.178666004058,2263.1917895072265,0.5359203209672863,10.342807187000023,29,164,0.06306589748170746,0.5605741825841718,14842.150749804438,17.90114940659711,22.794881644405027,7.835013822415752
